,city,date,conditions,description,cloudcover,dewpoint,pressure,humidity,uv_index,visibility,feelslike,feelslikemin,feelslikemax,temp,tempmin,tempmax,precipitation,precipitation_type,wind_direction,wind_speed,wind_gust,severe_risk,moonphase,sunrise,sunset
0,Chicago,2023-05-01,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,98.8,35.7,997.4,72.9,2.0,9.4,36.7,32.0,44.3,44.0,40.6,49.9,0.068,['rain'],304.2,21.8,35.5,10.0,0.37,05:46:59,19:49:04
1,Chicago,2023-05-02,Overcast,Cloudy skies throughout the day.,95.2,32.0,1002.8,53.9,7.0,9.9,43.4,35.7,54.6,48.1,42.9,54.6,0.0,,327.9,20.8,31.1,10.0,0.4,05:45:40,19:50:09
2,Chicago,2023-05-03,Partially cloudy,Clearing in the afternoon.,59.8,34.4,1012.9,60.4,9.0,9.9,44.3,34.5,55.4,47.6,40.8,55.4,0.0,,6.1,16.5,26.8,10.0,0.43,05:44:22,19:51:14
3,Chicago,2023-05-04,Partially cloudy,Partly cloudy throughout the day.,30.6,36.0,1015.0,48.4,9.0,9.9,56.9,40.6,71.6,57.3,41.8,71.6,0.0,,175.3,13.3,21.9,10.0,0.47,05:43:06,19:52:19
4,Chicago,2023-05-05,Partially cloudy,Partly cloudy throughout the day.,54.4,38.6,1015.9,36.0,8.0,9.9,67.5,55.8,77.5,67.5,55.8,77.5,0.0,,171.8,18.2,33.3,10.0,0.5,05:41:50,19:53:24
5,Chicago,2023-05-06,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,94.4,50.4,1016.1,54.3,2.0,9.9,67.9,59.6,77.4,67.9,59.6,77.4,0.027,['rain'],154.2,17.4,29.4,10.0,0.54,05:40:36,19:54:28
6,Chicago,2023-05-07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,77.1,58.9,1011.1,67.6,8.0,9.8,70.7,59.6,83.8,70.6,59.6,83.9,0.04,['rain'],127.8,17.0,24.6,30.0,0.57,05:39:24,19:55:32
7,Chicago,2023-05-08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,93.4,49.9,1013.9,84.0,1.0,8.1,54.7,51.8,64.5,54.7,51.8,64.5,0.132,['rain'],36.3,15.8,28.5,10.0,0.61,05:38:12,19:56:36
8,Chicago,2023-05-09,Partially cloudy,Partly cloudy throughout the day.,55.1,43.8,1020.3,60.5,9.0,9.5,58.5,46.0,68.8,58.8,48.6,68.8,0.0,,43.1,11.9,18.3,10.0,0.64,05:37:03,19:57:40
9,Chicago,2023-05-10,Partially cloudy,Partly cloudy throughout the day.,52.4,42.2,1020.9,47.1,9.0,9.9,64.4,50.6,78.4,64.4,50.6,78.4,0.0,,116.7,12.7,18.3,10.0,0.68,05:35:54,19:58:43
10,Chicago,2023-05-11,Partially cloudy,Partly cloudy throughout the day.,60.4,42.4,1017.7,39.9,9.0,9.9,69.3,56.3,80.3,69.7,56.3,82.6,0.0,,126.2,12.0,25.3,10.0,0.71,05:34:48,19:59:46
11,Chicago,2023-05-12,"Rain, Overcast",Cloudy skies throughout the day with rain.,95.5,55.9,1015.9,65.8,3.0,8.8,68.4,60.8,75.3,68.4,60.8,75.3,0.22,['rain'],79.0,10.5,15.0,10.0,0.75,05:33:42,20:00:48
12,Chicago,2023-05-13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,99.0,52.8,1019.7,74.5,2.0,9.2,61.1,57.0,66.6,61.1,57.0,66.6,0.016,['rain'],35.2,14.8,23.0,10.0,0.79,05:32:39,20:01:50
13,Chicago,2023-05-14,"Rain, Overcast",Cloudy skies throughout the day with rain.,98.8,44.4,1026.2,59.2,2.0,9.9,58.8,54.3,63.0,58.8,54.3,63.0,0.017,['rain'],42.2,14.8,27.5,10.0,0.82,05:31:36,20:02:52
14,Chicago,2023-05-15,Partially cloudy,Partly cloudy throughout the day.,85.1,34.9,1025.4,41.5,8.0,9.9,59.2,52.3,66.5,59.2,52.3,66.5,0.0,,46.7,13.2,21.9,10.0,0.86,05:30:36,20:03:52
15,Chicago,2023-05-16,Partially cloudy,Partly cloudy throughout the day.,74.5,40.3,1012.6,45.8,9.0,9.9,62.9,51.3,79.5,63.0,51.3,80.9,0.0,,327.8,17.8,35.2,10.0,0.89,05:29:37,20:04:53
16,Chicago,2023-05-17,Partially cloudy,Partly cloudy throughout the day.,53.1,38.6,1016.0,58.2,8.0,9.9,51.6,40.4,61.0,53.2,46.6,61.0,0.0,,34.1,15.7,25.3,10.0,0.93,05:28:40,20:05:53
17,Chicago,2023-05-18,Partially cloudy,Partly cloudy throughout the day.,57.4,34.1,1016.9,41.1,6.0,9.9,59.6,44.4,73.9,60.2,46.3,73.9,0.0,,132.3,12.0,19.7,10.0,0.97,05:27:44,20:06:52
18,Chicago,2023-05-19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,85.5,49.0,1014.0,55.3,2.0,8.6,66.3,58.1,74.6,66.3,58.1,74.6,0.049,['rain'],264.6,14.4,24.2,10.0,0.0,05:26:51,20:07:50
19,Chicago,2023-05-20,Clear,Clear conditions throughout the day.,19.6,41.2,1020.2,51.8,8.0,9.9,59.5,45.7,70.7,59.8,49.2,70.7,0.0,,2.7,11.2,21.2,10.0,0.03,05:25:59,20:08:48
20,Chicago,2023-05-21,Clear,Clear conditions throughout the day.,16.3,40.8,1020.2,40.6,9.0,9.9,66.9,54.0,79.8,66.9,54.0,79.8,0.0,,213.2,12.6,20.8,10.0,0.07,05:25:09,20:09:45
21,Chicago,2023-05-22,Partially cloudy,Partly cloudy throughout the day.,41.3,41.9,1019.4,39.4,8.0,9.9,69.3,55.5,79.7,69.4,55.5,81.2,0.0,,96.5,15.2,22.5,10.0,0.1,05:24:20,20:10:42
22,Chicago,2023-05-23,Clear,Clear conditions throughout the day.,13.8,43.9,1018.9,38.3,7.0,9.9,71.5,60.2,81.3,72.1,60.2,83.7,0.0,,101.8,14.0,24.2,10.0,0.13,05:23:34,20:11:37
23,Chicago,2023-05-24,Partially cloudy,Partly cloudy throughout the day.,37.5,45.5,1021.2,54.8,8.0,9.9,62.0,54.2,67.9,62.0,54.2,67.9,0.0,,25.9,18.5,33.3,10.0,0.16,05:22:49,20:12:32
24,Chicago,2023-05-25,Partially cloudy,Clearing in the afternoon.,48.1,33.1,1025.5,44.9,7.0,9.9,54.1,44.6,60.7,54.3,49.5,60.7,0.0,,52.7,16.2,25.5,10.0,0.2,05:22:07,20:13:25
25,Chicago,2023-05-26,Clear,Clear conditions throughout the day.,17.8,34.1,1026.6,42.6,9.0,9.9,58.9,46.7,69.1,59.2,48.8,69.1,0.0,,43.4,11.8,21.9,10.0,0.23,05:21:26,20:14:18
26,Chicago,2023-05-27,Partially cloudy,Partly cloudy throughout the day.,46.8,35.8,1024.7,39.6,8.0,9.9,61.9,46.9,71.5,62.0,48.0,71.5,0.0,,55.9,13.8,23.0,10.0,0.25,05:20:47,20:15:10
27,Chicago,2023-05-28,Partially cloudy,Partly cloudy throughout the day.,74.7,38.2,1019.9,37.8,8.0,9.9,67.1,55.7,78.2,67.1,55.7,78.2,0.0,,50.2,13.5,21.9,10.0,0.29,05:20:10,20:16:01
28,Chicago,2023-05-29,Partially cloudy,Partly cloudy throughout the day.,59.9,41.9,1016.0,38.5,8.0,9.9,70.0,55.0,80.3,70.6,55.0,82.5,0.0,,56.0,10.9,18.3,10.0,0.32,05:19:35,20:16:50
29,Chicago,2023-05-30,Partially cloudy,Partly cloudy throughout the day.,48.4,47.5,1014.3,39.3,9.0,9.9,74.0,62.0,85.5,74.8,62.0,88.2,0.0,,73.9,13.7,19.7,10.0,0.36,05:19:02,20:17:39
30,Chicago,2023-05-31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,57.9,58.8,1014.4,50.9,6.0,9.9,79.0,69.4,89.5,78.9,69.4,89.7,0.077,['rain'],162.6,11.7,32.0,30.0,0.39,05:18:31,20:18:26
31,Chicago,2023-06-01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,52.6,61.4,1016.3,57.5,8.0,9.9,78.6,69.2,89.7,78.3,69.2,89.5,0.1,['rain'],108.6,13.6,29.4,10.0,0.42,05:18:02,20:19:12
32,Chicago,2023-06-02,Partially cloudy,Partly cloudy throughout the day.,53.4,53.1,1016.6,44.5,9.0,9.9,78.0,67.9,86.5,79.2,67.9,89.6,0.0,,62.1,12.2,20.8,10.0,0.45,05:17:35,20:19:57
33,Chicago,2023-06-03,Partially cloudy,Partly cloudy throughout the day.,50.6,54.4,1015.7,48.5,9.0,9.9,76.1,66.4,84.8,76.7,66.4,87.4,0.0,,31.0,16.1,21.9,10.0,0.5,05:17:10,20:20:40
34,Chicago,2023-06-04,Partially cloudy,Partly cloudy throughout the day.,37.1,46.1,1016.9,43.8,5.0,9.8,70.9,63.0,75.9,70.9,63.0,75.9,0.0,,48.0,12.7,23.0,10.0,0.52,05:16:47,20:21:22
35,Chicago,2023-06-05,Partially cloudy,Clearing in the afternoon.,50.9,44.5,1017.0,42.4,9.0,9.8,70.5,57.5,81.2,70.9,57.5,83.7,0.0,,42.3,12.3,18.3,10.0,0.56,05:16:27,20:22:03
36,Chicago,2023-06-06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,86.1,51.0,1013.9,53.7,4.0,8.9,68.6,61.8,76.8,68.6,61.8,76.8,0.016,['rain'],25.1,15.7,26.4,10.0,0.59,05:16:08,20:22:43
37,Chicago,2023-06-07,Partially cloudy,Clearing in the afternoon.,36.3,44.0,1011.8,48.1,8.0,9.4,65.5,58.7,73.6,65.5,58.7,73.6,0.0,,28.3,17.8,29.0,10.0,0.63,05:15:51,20:23:20
38,Chicago,2023-06-08,Clear,Clear conditions throughout the day.,4.8,40.9,1012.4,45.5,8.0,9.9,64.6,54.8,73.8,64.6,54.8,73.8,0.0,,24.0,13.9,24.2,10.0,0.66,05:15:36,20:23:57
39,Chicago,2023-06-09,Clear,Clear conditions throughout the day.,14.0,40.6,1012.3,38.7,9.0,9.9,68.1,54.5,78.4,68.1,54.5,78.4,0.0,,61.8,11.1,18.7,10.0,0.7,05:15:24,20:24:31
40,Chicago,2023-06-10,Partially cloudy,Partly cloudy throughout the day.,47.7,41.7,1008.4,31.7,9.0,9.9,73.9,61.3,82.5,74.8,61.3,85.6,0.0,,224.4,10.2,22.7,10.0,0.75,05:15:13,20:25:05
41,Chicago,2023-06-11,"Rain, Overcast",Cloudy skies throughout the day with rain.,98.9,50.8,1009.1,78.5,1.0,9.7,57.8,53.1,71.9,57.8,53.1,71.9,0.057,['rain'],14.1,22.9,33.8,10.0,0.77,05:15:05,20:25:36
42,Chicago,2023-06-12,Partially cloudy,Partly cloudy throughout the day.,83.4,41.3,1010.1,52.1,5.0,9.9,59.9,50.8,68.4,59.9,50.8,68.4,0.0,,325.8,17.9,31.3,10.0,0.8,05:14:59,20:26:06
43,Chicago,2023-06-13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,94.4,53.4,1003.5,76.9,3.0,8.6,61.0,56.6,65.4,61.0,56.6,65.4,0.521,['rain'],285.0,18.2,30.3,10.0,0.84,05:14:54,20:26:34
44,Chicago,2023-06-14,Partially cloudy,Partly cloudy throughout the day.,84.3,56.7,1004.4,74.6,4.0,9.8,65.3,59.0,72.6,65.3,59.0,72.6,0.0,,65.4,9.8,13.9,10.0,0.88,05:14:52,20:27:00
45,Chicago,2023-06-15,Partially cloudy,Partly cloudy throughout the day.,68.6,54.0,1006.4,70.1,6.0,8.3,64.4,54.6,80.6,64.4,54.6,80.3,0.0,,32.4,17.5,26.4,10.0,0.91,05:14:52,20:27:25
46,Chicago,2023-06-16,Partially cloudy,Partly cloudy throughout the day.,61.3,50.6,1013.9,73.8,2.0,9.9,59.2,53.4,66.4,59.2,53.4,66.4,0.0,,23.4,14.2,26.4,10.0,0.95,05:14:54,20:27:48
47,Chicago,2023-06-17,Clear,Clear conditions throughout the day.,15.2,51.2,1014.5,60.2,8.0,8.4,66.6,53.6,78.3,66.6,53.6,78.3,0.0,,70.9,12.4,11.4,10.0,0.0,05:14:58,20:28:08
48,Chicago,2023-06-18,Partially cloudy,Partly cloudy throughout the day.,60.2,52.8,1009.8,51.8,7.0,9.0,72.5,61.6,82.5,73.0,61.6,84.6,0.0,,121.5,14.7,25.4,10.0,0.02,05:15:03,20:28:27
49,Chicago,2023-06-19,Partially cloudy,Partly cloudy throughout the day.,58.2,53.5,1011.3,49.8,8.0,9.3,74.3,64.1,82.7,74.8,64.1,84.3,0.0,,55.4,15.2,23.0,10.0,0.05,05:15:11,20:28:44
50,Chicago,2023-06-20,Clear,Clear conditions throughout the day.,4.8,53.8,1016.2,51.8,8.0,9.9,73.2,61.5,81.8,73.4,61.5,82.5,0.0,,30.3,16.3,24.2,10.0,0.08,05:15:21,20:29:00
51,Chicago,2023-06-21,Clear,Clear conditions throughout the day.,9.6,59.6,1018.0,58.4,8.0,9.9,75.9,65.8,85.9,75.8,65.8,85.9,0.0,,51.0,17.1,21.3,10.0,0.11,05:15:33,20:29:13
52,Chicago,2023-06-22,Partially cloudy,Partly cloudy throughout the day.,51.3,56.3,1015.7,52.1,8.0,9.9,75.5,68.3,83.0,75.7,68.3,83.9,0.0,,44.4,16.8,26.4,10.0,0.15,05:15:46,20:29:24
53,Chicago,2023-06-23,Partially cloudy,Clearing in the afternoon.,48.1,54.2,1013.0,47.8,8.0,8.8,75.6,67.9,82.7,75.9,67.9,84.0,0.0,,28.4,12.8,21.3,10.0,0.18,05:16:02,20:29:33
54,Chicago,2023-06-24,Partially cloudy,Partly cloudy throughout the day.,29.3,57.3,1011.2,49.2,9.0,9.8,78.6,65.7,88.7,78.9,65.7,90.8,0.0,,101.9,14.0,23.0,10.0,0.21,05:16:19,20:29:40
55,Chicago,2023-06-25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,80.3,63.4,1003.1,68.8,6.0,9.1,75.8,68.8,88.4,75.3,68.8,86.3,1.078,['rain'],233.9,25.1,41.5,60.0,0.25,05:16:38,20:29:46
56,Chicago,2023-06-26,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,93.0,61.9,1003.0,72.3,4.0,8.0,71.5,68.8,74.5,71.5,68.8,74.5,0.009,['rain'],293.6,20.1,33.6,10.0,0.25,05:16:59,20:29:49
57,Chicago,2023-06-27,Overcast,Cloudy skies throughout the day.,95.2,54.9,1011.1,61.0,4.0,2.5,69.2,65.5,75.0,69.2,65.5,75.0,0.0,,7.2,13.8,21.9,10.0,0.31,05:17:22,20:29:50
58,Chicago,2023-06-28,Partially cloudy,Partly cloudy throughout the day.,86.0,54.8,1014.4,57.0,5.0,1.7,71.7,59.3,82.7,71.9,59.3,83.8,0.0,,121.7,13.0,20.8,10.0,0.34,05:17:47,20:29:49
59,Chicago,2023-06-29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,73.5,66.4,1010.2,67.7,6.0,4.7,80.0,72.7,90.9,78.3,72.7,86.4,0.039,['rain'],187.2,12.5,32.2,30.0,0.38,05:18:13,20:29:45
60,Chicago,2023-06-30,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,67.7,68.2,1012.0,69.3,6.0,6.7,81.5,71.4,92.0,80.1,71.4,89.1,0.001,['rain'],238.2,15.2,24.5,30.0,0.41,05:18:41,20:29:40
61,Chicago,2023-07-01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,75.7,68.1,1009.8,74.3,1.0,8.2,77.9,72.8,87.3,77.1,72.8,84.2,0.07,['rain'],277.5,8.5,18.3,10.0,0.44,05:19:10,20:29:33
62,Chicago,2023-07-02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,95.8,66.3,1007.0,88.8,1.0,5.4,69.8,65.9,74.8,69.8,65.9,74.8,3.278,['rain'],11.0,14.8,23.0,10.0,0.47,05:19:42,20:29:23
63,Chicago,2023-07-03,Partially cloudy,Partly cloudy throughout the day.,39.6,58.7,1011.8,58.4,8.0,9.9,75.3,63.9,85.9,75.1,63.9,85.4,0.0,,27.7,10.6,13.9,10.0,0.5,05:20:14,20:29:12
64,Chicago,2023-07-04,Partially cloudy,Partly cloudy throughout the day.,33.5,63.5,1013.8,56.3,7.0,9.5,82.4,69.8,91.6,81.5,69.8,91.5,0.0,,236.0,12.6,18.3,30.0,0.54,05:20:48,20:28:58
65,Chicago,2023-07-05,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,56.4,69.0,1012.9,71.5,7.0,8.5,81.7,71.4,95.7,79.6,71.4,90.6,1.136,['rain'],203.4,15.2,38.5,30.0,0.58,05:21:24,20:28:42
66,Chicago,2023-07-06,Partially cloudy,Partly cloudy throughout the day.,84.8,63.6,1013.5,72.9,9.0,9.0,73.3,69.4,79.5,73.3,69.4,79.5,0.0,,35.4,12.2,20.8,10.0,0.61,05:22:01,20:28:24
67,Chicago,2023-07-07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,67.7,58.3,1013.8,62.3,9.0,9.9,72.2,65.5,79.6,72.2,65.5,79.6,0.004,['rain'],59.5,12.4,18.3,10.0,0.65,05:22:40,20:28:04
68,Chicago,2023-07-08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,82.3,58.7,1011.3,71.5,1.0,9.3,68.9,64.7,74.5,68.9,64.7,74.5,0.201,['rain'],8.5,11.3,16.1,10.0,0.68,05:23:20,20:27:42
69,Chicago,2023-07-09,Partially cloudy,Becoming cloudy in the afternoon.,31.9,55.1,1011.5,55.1,7.0,9.9,73.1,61.1,82.3,73.3,61.1,83.6,0.0,,309.0,9.4,19.7,10.0,0.75,05:24:01,20:27:18
70,Chicago,2023-07-10,Clear,Clear conditions throughout the day.,13.7,57.9,1011.9,54.2,7.0,9.9,76.3,65.1,84.6,76.4,65.1,85.1,0.0,,233.1,13.9,22.7,10.0,0.75,05:24:43,20:26:52
71,Chicago,2023-07-11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,52.6,61.4,1011.8,66.0,6.0,9.6,74.0,68.9,87.2,73.8,68.9,85.4,0.74,['rain'],171.7,18.2,67.8,30.0,0.79,05:25:27,20:26:23
72,Chicago,2023-07-12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,90.9,63.1,1010.5,81.9,1.0,9.0,68.9,64.2,77.3,68.9,64.2,77.3,1.182,['rain'],144.5,18.3,31.2,10.0,0.82,05:26:12,20:25:53
73,Chicago,2023-07-13,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,92.0,61.2,1010.3,75.1,2.0,9.8,69.7,64.6,76.4,69.7,64.6,76.4,0.007,['rain'],314.1,8.4,21.9,10.0,0.86,05:26:58,20:25:21
74,Chicago,2023-07-14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,65.1,66.4,1009.3,69.2,8.0,9.6,79.7,69.4,92.6,78.2,69.4,90.0,0.146,['rain'],239.6,22.7,44.4,60.0,0.89,05:27:45,20:24:46
75,Chicago,2023-07-15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,84.5,66.1,1008.4,71.2,8.0,9.4,77.5,70.3,86.4,76.7,70.3,83.7,0.335,['rain'],252.4,13.0,27.7,60.0,0.93,05:28:33,20:24:10
76,Chicago,2023-07-16,Partially cloudy,Partly cloudy throughout the day.,69.9,58.8,1010.4,59.4,6.0,7.7,74.6,67.1,80.8,74.6,67.1,80.6,0.0,,263.7,16.1,23.1,10.0,0.96,05:29:22,20:23:31
77,Chicago,2023-07-17,Partially cloudy,Partly cloudy throughout the day.,29.0,55.3,1012.0,55.1,8.0,8.9,73.4,65.8,79.1,73.4,65.8,79.1,0.0,,283.0,14.1,23.0,10.0,0.0,05:30:12,20:22:51
78,Chicago,2023-07-18,Partially cloudy,Partly cloudy throughout the day.,44.1,54.9,1014.6,56.9,9.0,9.9,71.3,63.4,77.4,71.3,63.4,77.4,0.0,,51.6,11.0,20.8,10.0,0.03,05:31:03,20:22:08
79,Chicago,2023-07-19,Partially cloudy,Partly cloudy throughout the day.,41.2,56.7,1016.1,54.8,9.0,9.9,74.7,62.9,83.8,74.7,62.9,84.4,0.0,,174.3,8.5,13.9,10.0,0.06,05:31:55,20:21:24
80,Chicago,2023-07-20,Partially cloudy,Partly cloudy throughout the day.,58.1,61.5,1011.8,57.4,6.0,9.9,78.9,71.5,89.4,78.5,71.5,86.8,0.0,,281.9,18.8,30.4,60.0,0.1,05:32:47,20:20:38
81,Chicago,2023-07-21,Partially cloudy,Partly cloudy throughout the day.,59.5,57.3,1014.8,58.7,3.0,9.9,73.4,67.8,80.4,73.4,67.8,80.4,0.0,,23.7,10.9,19.7,10.0,0.13,05:33:41,20:19:50
82,Chicago,2023-07-22,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,44.2,56.6,1012.7,57.3,7.0,9.9,73.3,64.5,83.1,73.5,64.5,84.4,0.019,['rain'],267.1,13.3,24.2,10.0,0.16,05:34:35,20:19:00
83,Chicago,2023-07-23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,46.2,60.7,1012.5,65.2,7.0,9.7,74.3,64.7,83.7,74.2,64.7,83.7,0.165,['rain'],286.9,11.7,25.5,30.0,0.2,05:35:30,20:18:08
84,Chicago,2023-07-24,Partially cloudy,Partly cloudy throughout the day.,24.6,61.7,1015.8,59.5,6.0,8.5,77.8,69.3,85.7,77.6,69.3,85.5,0.0,,68.3,9.9,13.9,30.0,0.23,05:36:25,20:17:14
85,Chicago,2023-07-25,Partially cloudy,Partly cloudy throughout the day.,27.7,62.8,1016.8,57.1,6.0,5.5,80.8,69.6,90.3,80.1,69.6,89.9,0.0,,193.6,12.1,23.0,10.0,0.25,05:37:22,20:16:19
86,Chicago,2023-07-26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,72.6,71.2,1009.3,71.2,1.0,8.7,85.6,75.1,98.8,81.6,75.1,89.1,0.255,['rain'],214.7,13.0,36.7,75.0,0.3,05:38:18,20:15:22
87,Chicago,2023-07-27,Partially cloudy,Partly cloudy throughout the day.,30.4,70.3,1012.5,66.2,8.0,9.7,86.6,73.7,97.1,83.3,73.7,90.9,0.0,,105.0,11.4,18.3,30.0,0.33,05:39:16,20:14:23
88,Chicago,2023-07-28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,78.2,72.3,1012.5,72.2,7.0,9.5,87.4,73.0,103.9,82.6,73.0,91.8,0.491,['rain'],230.8,20.5,37.4,75.0,0.36,05:40:13,20:13:23
89,Chicago,2023-07-29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,65.0,63.0,1015.8,67.8,9.0,9.6,75.5,69.8,82.8,75.3,69.8,82.0,0.673,['rain'],11.6,20.7,41.0,10.0,0.4,05:41:12,20:12:20
90,Chicago,2023-07-30,Partially cloudy,Partly cloudy throughout the day.,42.8,58.4,1018.0,59.5,7.0,9.9,73.7,68.7,78.5,73.7,68.7,78.5,0.0,,36.0,13.9,24.2,10.0,0.43,05:42:10,20:11:17
91,Chicago,2023-07-31,Partially cloudy,Becoming cloudy in the afternoon.,48.9,56.0,1019.8,55.2,5.0,9.9,73.6,64.1,81.3,73.6,64.1,81.5,0.0,,80.4,10.4,20.8,10.0,0.46,05:43:10,20:10:11
92,New York,2023-05-01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,72.4,41.7,992.3,60.6,7.0,9.2,56.0,44.5,61.0,56.3,50.0,61.0,0.015,['rain'],256.5,17.3,35.6,10.0,0.37,05:54:56,19:52:06
93,New York,2023-05-02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,71.8,39.9,996.3,63.8,6.0,9.9,51.4,43.1,56.9,52.1,47.9,56.9,0.013,['rain'],254.8,18.2,51.2,10.0,0.4,05:53:40,19:53:08
94,New York,2023-05-03,Partially cloudy,Partly cloudy throughout the day.,72.4,38.3,999.7,60.8,4.0,9.9,50.8,43.8,57.7,51.8,47.9,57.7,0.0,,255.2,10.1,17.3,10.0,0.43,05:52:25,19:54:10
95,New York,2023-05-04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,95.6,43.9,1010.9,75.9,5.0,9.9,50.5,45.9,55.1,51.3,48.8,55.1,0.004,['rain'],33.2,16.5,44.7,10.0,0.47,05:51:11,19:55:12
96,New York,2023-05-05,Partially cloudy,Partly cloudy throughout the day.,56.6,44.8,1022.0,69.0,9.0,9.8,55.4,51.0,63.0,55.4,51.0,63.0,0.0,,80.3,13.3,40.3,10.0,0.5,05:49:59,19:56:13
97,New York,2023-05-06,Partially cloudy,Becoming cloudy in the afternoon.,24.6,43.9,1023.1,58.2,10.0,9.9,60.5,51.0,73.1,60.5,51.0,73.1,0.0,,259.9,11.0,31.1,10.0,0.53,05:48:48,19:57:15
98,New York,2023-05-07,Rain,Clear conditions throughout the day with late afternoon rain.,16.7,44.3,1015.6,47.3,9.0,9.9,65.6,55.2,76.9,65.6,55.2,76.9,0.002,['rain'],236.5,10.3,58.6,10.0,0.57,05:47:38,19:58:16
99,New York,2023-05-08,Partially cloudy,Clearing in the afternoon.,26.0,46.8,1008.6,49.9,9.0,9.9,68.4,59.0,78.9,68.4,59.0,78.9,0.0,,300.9,10.1,27.7,10.0,0.61,05:46:30,19:59:17
100,New York,2023-05-09,Clear,Clear conditions throughout the day.,5.8,36.0,1014.6,39.2,10.0,9.9,61.7,56.0,66.9,61.7,56.0,66.9,0.0,,71.9,13.3,40.6,10.0,0.64,05:45:23,20:00:18
101,New York,2023-05-10,Clear,Clear conditions throughout the day.,0.6,42.7,1020.6,52.5,9.0,9.9,61.2,53.0,71.9,61.2,53.0,71.9,0.0,,230.7,10.0,53.9,10.0,0.68,05:44:17,20:01:18
102,New York,2023-05-11,Clear,Clear conditions throughout the day.,1.0,42.1,1019.2,40.5,9.0,9.9,68.0,56.2,79.2,68.0,56.2,79.2,0.0,,250.3,10.3,48.7,10.0,0.71,05:43:13,20:02:18
103,New York,2023-05-12,Clear,Clear conditions throughout the day.,11.7,48.3,1017.6,43.0,10.0,9.9,73.0,60.5,81.8,73.6,60.5,83.9,0.0,,253.5,12.5,53.3,10.0,0.75,05:42:11,20:03:18
104,New York,2023-05-13,Clear,Clear conditions throughout the day.,4.0,49.6,1016.0,44.5,7.0,9.9,73.5,68.2,79.1,73.5,68.2,79.1,0.0,,254.5,7.0,43.6,10.0,0.78,05:41:10,20:04:17
105,New York,2023-05-14,Clear,Clear conditions throughout the day.,1.2,36.4,1021.4,32.4,10.0,9.9,67.4,61.0,75.6,67.4,61.0,75.6,0.0,,46.8,14.2,40.3,10.0,0.82,05:40:10,20:05:15
106,New York,2023-05-15,Clear,Clear conditions throughout the day.,0.8,36.1,1021.9,35.6,9.0,9.9,64.6,55.9,73.2,64.6,55.9,73.2,0.0,,267.7,14.5,48.3,10.0,0.86,05:39:13,20:06:14
107,New York,2023-05-16,Clear,Clear conditions throughout the day.,1.1,43.0,1007.4,42.5,10.0,9.9,68.4,57.1,78.1,68.4,57.1,78.1,0.0,,260.1,16.9,48.5,10.0,0.89,05:38:16,20:07:12
108,New York,2023-05-17,Clear,Clear conditions throughout the day.,10.3,35.5,1008.0,39.5,10.0,9.9,62.3,55.0,69.3,62.3,55.0,69.3,0.0,,1.0,12.6,42.3,10.0,0.93,05:37:22,20:08:09
109,New York,2023-05-18,Clear,Clear conditions throughout the day.,0.4,33.7,1025.8,46.9,10.0,9.9,53.5,43.8,60.1,54.5,48.6,60.1,0.0,,94.2,14.7,35.3,10.0,0.96,05:36:29,20:09:05
